Type,ID,Dir,ANode,BNode,Floor,Right,Grade,StartTime,EndTime,Gridw
1,3,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,4,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,5,0,6,0,1.000000,0,1.000000,1876880,0,0.250000
2,7,0,3,0,1.000000,0,1.000000,1876880,0,0.250000
2,8,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,9,0,7,8,1.000000,0,1.000000,1876880,0,0.250000
2,10,0,5,0,1.000000,0,1.000000,1876880,0,0.250000
2,11,0,2,0,1.000000,0,1.000000,1876880,0,0.250000
0,12,0,10,11,1.000000,0,1.000000,1876880,0,0.250000
1,16,0,24,23,1.000000,0,1.000000,1876880,0,0.250000
2,22,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,24,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
2,25,0,24,0,1.000000,0,1.000000,1876880,0,0.250000
2,27,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,26,0,25,27,1.000000,0,1.000000,1876880,0,0.250000
1,28,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
2,29,0,28,0,1.000000,0,1.000000,1876880,0,0.250000
2,31,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,32,0,27,31,1.000000,0,1.000000,1876880,0,0.250000
1,34,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,35,0,36,0,1.000000,0,1.000000,1876880,0,0.250000
1,37,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,38,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,39,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,40,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,41,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,42,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,43,0,44,44,1.000000,0,1.000000,1876880,0,0.250000
1,44,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,45,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,46,0,47,47,1.000000,0,1.000000,1876880,0,0.250000
1,47,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,48,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,49,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,50,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,51,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,52,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,53,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,54,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,55,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,56,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,57,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,58,0,59,0,1.000000,0,1.000000,1876880,0,0.250000
1,59,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,60,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,61,0,62,0,1.000000,0,1.000000,1876880,0,0.250000
1,62,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,63,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,64,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,65,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,66,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,67,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
1,68,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
2,69,0,68,0,1.000000,0,1.000000,1876880,0,0.250000
2,70,0,68,0,1.000000,0,1.000000,1876880,0,0.250000
2,71,0,48,0,1.000000,0,1.000000,1876880,0,0.250000
0,72,0,75,71,1.000000,0,1.000000,1876880,0,0.250000
2,73,0,47,0,1.000000,0,1.000000,1876880,0,0.250000
0,74,0,75,73,1.000000,0,1.000000,1876880,0,0.250000
2,75,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,76,0,70,75,1.000000,0,1.000000,1876880,0,0.250000
2,78,0,59,0,1.000000,0,1.000000,1876880,0,0.250000
2,79,0,58,0,1.000000,0,1.000000,1876880,0,0.250000
0,80,0,134,79,1.000000,0,1.000000,1876880,0,0.250000
2,81,0,61,0,1.000000,0,1.000000,1876880,0,0.250000
2,83,0,60,0,1.000000,0,1.000000,1876880,0,0.250000
2,85,0,63,0,1.000000,0,1.000000,1876880,0,0.250000
2,87,0,57,0,1.000000,0,1.000000,1876880,0,0.250000
2,88,0,64,0,1.000000,0,1.000000,1876880,0,0.250000
0,89,0,131,88,1.000000,0,1.000000,1876880,0,0.250000
2,90,0,46,0,1.000000,0,1.000000,1876880,0,0.250000
2,92,0,44,0,1.000000,0,1.000000,1876880,0,0.250000
2,96,0,41,0,1.000000,0,1.000000,1876880,0,0.250000
2,102,0,34,0,1.000000,0,1.000000,1876880,0,0.250000
1,104,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
2,105,0,51,0,1.000000,0,1.000000,1876880,0,0.250000
2,106,0,104,0,1.000000,0,1.000000,1876880,0,0.250000
